,Sexist tokens
0,oh
1,yeah
2,colin
3,smash
4,girl
5,swear
6,sexist
7,honestli
8,stand
9,woman
10,colleg
11,footbal
12,announc
13,espn
14,call
15,sexist
16,think
17,women
18,serious
19,lack
20,knowledg
21,l
22,come
23,femin
24,call
25,sexist
26,femal
27,realli
28,need
29,stop
30,act
31,like
32,big
33,footbal
34,fan
35,stop
36,mine
37,place
38,woman
39,work
40,...
41,call
42,sexist
43,woman
44,rock
45,driller
46,practic
47,n't
48,call
49,sexist
50,last
51,tweet
52,women
53,want
54,equal
55,prais
56,success
57,got
58,ta
59,take
60,equal
61,blame
62,failur
63,sorri
64,n't
65,see
66,hot
67,girl
68,eat
69,like
70,guy
71,call
72,sexist
73,like
74,girl
75,girl
76,honestli
77,stereotyp
78,light-heart
79,usual
80,harmless
81,let
82,peopl
83,joke
84,around
85,femin
86,respect
87,ideal
88,over-sensit
89,search
90,problem
91,would
92,n't
93,mad
94,fact
95,n't
96,appreci
97,call
98,bigot
99,say
100,sexist
101,tweet
102,women
103,?
104,sexism
105,work
106,way
107,look
108,see
109,tweet
110,pure
111,hatr
112,look
113,see
114,light
115,stupid
116,would
117,rather
118,blind
119,dog
120,ref
121,freakin
122,liz
123,sorri
124,sexist
125,girl
126,sexist
127,women
128,play
129,footbal
130,past
131,age
132,unless
133,true
134,women
135,play
136,footbal
137,repeat
138,concuss
139,might
140,make
141,us
142,stupid
143,well
144,n't
145,followy
146,stop
147,trolling.y
148,tohav
149,someth
150,better
151,look
152,sexist
153,tw
154,oh
155,plenti
156,pick
157,rotten
158,low
159,hang
160,sexist
161,fruit
162,n't
163,take
164,much
165,day
166,)
167,sexist
168,say
169,``
170,men
171,n't
172,belong
173,kitchen
174,utterli
175,true
176,tri
177,make
178,instant
179,oa
180,okay
181,fuck
182,shit
183,pussi
184,sexist
185,litmu
186,test
187,call
188,lvl
189,sexist
190,comment
191,dood
192,come
193,back
194,lvl
195,gun
196,ablaz
197,``
198,pussi
199,``
200,cunt
201,``
202,bitch
203,feminin
204,horribl
205,sexist
206,dude
207,cri
208,girl
209,wed
210,dress
211,vagina
212,leav
213,wash
214,mum
215,complet
216,remtard
217,sexist
218,seen
219,realli
220,dumb
221,girl
222,lend
223,credibl
224,argument
225,bitch
226,walk
227,around
228,stroller
229,dog
230,dog
231,leg
232,n't
233,need
234,star
235,unlik
236,hilari
237,ignor
238,ca
239,n't
240,spell
241,``
242,racist
243,im
244,sorri
245,girl
246,rli
247,unfunni
248,wast
249,fossil
250,fuel
251,publish
252,tweet
253,call
254,sexist
255,guy
256,&
257,gt
258,girl
259,call
260,sexist
261,pack
262,girl
263,skateboard
264,might
265,weirdest
266,thing
267,ever
268,seen
269,ca
270,n't
271,even
272,call
273,sexist
274,actual
275,prefer
276,guy
277,charg
278,lol
279,atmospher
280,laid-back
281,fun
282,women
283,seriou
284,booor
285,sexist
286,women
287,ca
288,n't
